Age,Income,LoanAmount,CreditScore,EmploymentStatus,LoanTerm,PreviousDefaults,DebtToIncomeRatio,MaritalStatus,Education,Default
54,48314.06,10689.27,576.0,Unemployed,36,1,0.35,Single,Masters,0
36,44622.81,10249.51,747.0,Employed,36,0,0.45,Single,High School,0
30,58067.49,29370.89,597.0,Employed,24,0,0.34,Divorced,High School,1
56,64779.36,25230.93,547.0,Employed,24,0,0.15,Single,High School,0
53,56730.17,17798.4,593.0,Self-Employed,48,2,0.41,Single,Masters,1
43,69144.4,17112.16,572.0,Unemployed,60,0,0.32,Divorced,Bachelors,1
57,70905.88,1000.0,740.0,Unemployed,24,1,0.3,Single,High School,0
23,30799.89,1369.03,707.0,Retired,36,0,0.43,Single,Masters,0
65,72671.78,25629.13,753.0,Self-Employed,60,3,0.33,Married,Bachelors,0
32,60021.89,10804.41,645.0,Retired,48,0,0.36,Married,Masters,1
32,84902.67,22035.34,633.0,Employed,36,3,0.32,Married,Bachelors,1
59,36193.43,1000.0,528.0,Employed,36,1,0.52,Single,Bachelors,1
32,36038.52,19579.12,701.0,Self-Employed,24,1,0.28,Single,High School,1
60,54724.42,5773.34,568.0,Employed,60,1,0.37,Single,Bachelors,1
41,66497.14,18929.66,648.0,Unemployed,60,0,0.61,Single,High School,0
41,51886.97,14380.45,638.0,Employed,36,0,0.35,Single,Bachelors,0
62,42741.07,14450.93,415.0,Employed,48,0,0.32,Single,Bachelors,1
57,52587.69,15418.07,,Employed,36,0,0.37,Single,High School,0
25,58619.78,23389.66,445.0,Unemployed,36,2,0.36,Single,Bachelors,1
37,62864.89,6789.05,689.0,Self-Employed,48,2,0.31,Married,Bachelors,0
53,58273.59,23771.75,684.0,Self-Employed,36,0,0.37,Single,Bachelors,1
53,82553.51,22310.17,626.0,Employed,24,1,0.33,Single,High School,0
48,81928.8,25199.0,630.0,Employed,24,3,0.28,Single,Bachelors,1
49,48476.06,2884.24,671.0,,12,0,0.66,Married,Masters,0
31,48672.76,13123.04,608.0,Employed,36,0,0.43,Single,Bachelors,0
31,47270.7,18403.56,635.0,Retired,48,0,0.22,Married,Masters,1
53,74416.26,10307.75,608.0,Employed,12,0,0.27,Single,High School,1
32,59467.97,9994.58,705.0,Employed,36,2,0.79,Single,Bachelors,1
53,84311.14,22503.32,705.0,Self-Employed,48,0,0.57,Single,PhD,0
39,45444.36,1000.0,779.0,Employed,24,0,0.18,Single,High School,0
31,68002.86,12582.56,602.0,Employed,36,2,0.3,Divorced,Masters,1
21,54141.2,17309.79,719.0,Employed,24,1,0.13,Married,Masters,0
42,15000.0,10147.97,561.0,Employed,36,2,0.5,Married,Bachelors,1
55,44160.18,26011.97,844.0,Retired,36,0,0.47,Single,High School,0
57,31952.27,16159.1,704.0,Self-Employed,24,3,0.23,Married,High School,1
56,34425.91,12135.76,629.0,Employed,36,0,0.43,Married,Bachelors,0
26,40771.46,20636.05,659.0,Employed,24,1,0.43,Single,Bachelors,0
48,54704.39,17337.54,515.0,Employed,48,3,0.28,Single,Masters,1
65,62928.55,1000.0,597.0,Employed,48,0,0.34,Single,High School,0
23,63205.98,30932.43,560.0,Employed,36,0,0.59,Single,Bachelors,0
60,51056.19,14598.36,541.0,Employed,36,0,0.37,Married,Masters,1
40,73433.13,13534.8,713.0,Employed,24,1,0.44,Single,Bachelors,0
56,55264.39,6515.16,540.0,Self-Employed,36,0,0.29,Married,Masters,0
23,52146.47,30626.07,773.0,Employed,60,0,0.11,Single,Masters,0
46,58358.96,20349.24,600.0,Retired,48,0,0.29,Married,Masters,1
37,67274.05,1000.0,648.0,Employed,24,2,0.26,Married,Masters,0
28,28379.59,18665.34,508.0,Employed,24,0,0.2,Married,Masters,1
37,52401.51,19426.01,741.0,Employed,12,1,0.43,Single,High School,1
28,77084.8,14713.4,817.0,Employed,12,0,0.37,Married,Masters,0
